,project,prefixes,prefixes_names,main_releases,rapid_releases,trad_releases,patches,releases,time
163,seek-oss/vanilla-extract,14,@vanilla-extract/babel-plugin@ @vanilla-extract/dynamic@ @vanilla-extract/next-plugin@ @vanilla-extract/integration@ @vanilla-extract/css-utils@ @vanilla-extract/private@ @vanilla-extract/snowpack-plugin@ @vanilla-extract/esbuild-plugin@ @vanilla-extract/css@ @vanilla-extract/vite-plugin@ @vanilla-extract/recipes@ @vanilla-extract/sprinkles@ @vanilla-extract/rollup-plugin@ @vanilla-extract/webpack-plugin@,18,0,0,182,200,0 days 00:00:00.090851
164,mwouts/jupytext,3, v. v,20,5,6,75,95,0 days 00:00:00.135030
165,adazzle/react-data-grid,2, v,1,0,0,180,181,0 days 00:00:00.151920
166,jonschlinkert/remarkable,2, v,9,5,2,13,22,0 days 00:00:00.034522
167,samber/lo,1,v,22,8,0,3,25,0 days 00:00:00.026173
168,plopjs/plop,4, plop@ node-plop@ v,42,3,15,50,92,0 days 00:00:00.078182
169,FreeTubeApp/FreeTube,1,,1,0,0,0,1,0 days 00:00:00.021463
170,log4js-node/log4js-node,1,v,32,9,7,90,122,0 days 00:00:00.235504
171,ppoffice/hexo-theme-icarus,2, v,22,2,7,9,31,0 days 00:00:00.035049
172,docker/docker-ce,1,v,2,0,1,24,26,0 days 00:00:02.730085
173,oatpp/oatpp,1,,4,0,3,10,14,0 days 00:00:00.082331
174,developit/unfetch,2, isomorphic-,7,0,3,8,15,0 days 00:00:00.023597
175,lucidrains/DALLE2-pytorch,2, v,6,0,0,178,184,0 days 00:00:00.086601
176,fatih/color,1,v,16,0,2,1,17,0 days 00:00:00.016904
177,chyroc/WechatSogou,1,v,8,0,0,15,23,0 days 00:00:00.022833
178,google/glog,1,v,6,0,3,8,14,0 days 00:00:00.049493
179,ly525/luban-h5,1,v,18,6,2,14,32,0 days 00:00:00.215039
180,agentejo/cockpit,1,,8,1,5,27,35,0 days 00:00:00.156924
181,goproxyio/goproxy,1,v,2,0,0,7,9,0 days 00:00:00.015136
182,containers/buildah,3, V v,42,18,3,70,112,0 days 00:00:00.364224
183,kaorun343/vue-property-decorator,1,v,24,4,5,16,40,0 days 00:00:00.028968
184,redis/hiredis,1,v,7,0,5,11,18,0 days 00:00:00.050575
185,reach/reach-ui,17,@reach/window-size@ @reach/menu-button@ @reach/tooltip@ @reach/dialog@ @reach/utils@ @reach/alert@ @reach/rect@ @reach/skip-nav@ @reach/auto-id@ @reach/tabs@ @reach/portal@ @reach/combobox@ @reach/popover@ @reach/component-component@ v @reach/visually-hidden@ @reach/alert-dialog@,16,5,5,137,153,0 days 00:00:00.139478
186,django-oscar/django-oscar,1,,19,0,15,80,99,0 days 00:00:00.501995
187,LSPosed/LSPosed,1,v,6,0,2,41,47,0 days 00:00:00.319344
188,Snapchat/KeyDB,1,v,6,1,2,16,22,0 days 00:00:01.418724
189,arachnys/cabot,1,,6,1,1,33,39,0 days 00:00:00.050370
190,NicolasHug/Surprise,1,v,2,0,1,9,11,0 days 00:00:00.130480
191,kubernetes-sigs/external-dns,2,external-dns-helm-chart- v,20,6,6,41,61,0 days 00:00:00.157332
192,go-acme/lego,1,v,34,12,7,17,51,0 days 00:00:00.071222
193,go-flutter-desktop/go-flutter,1,v,39,4,1,15,54,0 days 00:00:00.032262
194,gorakhargosh/watchdog,1,v,12,2,6,35,47,0 days 00:00:00.075203
195,open-cli-tools/concurrently,2, v,27,1,3,18,45,0 days 00:00:00.030882
196,gogo/protobuf,1,v,9,0,8,4,13,0 days 00:00:00.061812
197,mixn/carbon-now-cli,2, v,5,2,1,7,12,0 days 00:00:00.139779
198,bytedance/xgplayer,1,v,4,0,1,44,48,0 days 00:00:00.054323
199,rappasoft/laravel-boilerplate,4, Laravel_ update_readme_ v,65,11,8,242,307,0 days 00:00:00.286134
200,ExactTarget/fuelux,1,,25,9,5,59,84,0 days 00:00:00.166916
201,micronaut-projects/micronaut-core,1,v,16,0,6,80,96,0 days 00:00:00.741012
202,tealeg/xlsx,4,go go.r go.go v,11,2,3,13,24,0 days 00:00:00.066201
203,oauth2-proxy/oauth2-proxy,1,v,18,1,10,9,27,0 days 00:00:00.107516
204,PyGithub/PyGithub,2, v,62,31,6,23,85,0 days 00:00:00.104010
205,devicons/devicon,1,v,17,4,5,4,21,0 days 00:00:00.060119
206,barryvdh/laravel-dompdf,1,v,10,0,2,24,34,0 days 00:00:00.024492
207,jpillora/cloud-torrent,1,,3,0,0,34,37,0 days 00:00:00.017492
208,mapstruct/mapstruct,0,,0,0,0,0,0,0 days 00:00:00.017155
209,encode/uvicorn,1,,17,0,4,119,136,0 days 00:00:00.090774
210,django/channels,1,,20,7,7,44,64,0 days 00:00:00.082727
211,tjanczuk/edge,1,v,11,2,4,23,34,0 days 00:00:00.044451
212,i-tu/Hasklig,2, v,12,3,3,0,12,0 days 00:00:00.032571
213,ecomfe/zrender,2, v,20,0,11,65,85,0 days 00:00:00.141562
214,rectorphp/rector,2, v,13,1,9,351,364,0 days 00:00:01.111240
215,scribejava/scribejava,2, scribejava-,41,15,10,41,82,0 days 00:00:00.082628
216,unicorn-engine/unicorn,1,,2,0,1,3,5,0 days 00:00:00.107250
217,domlysz/BlenderGIS,2, v,3,0,2,0,3,0 days 00:00:00.030421
218,leongersen/noUiSlider,1,,45,7,13,58,103,0 days 00:00:00.083058
219,alibaba/transmittable-thread-local,2, v,18,5,8,31,49,0 days 00:00:00.051033
220,FastLED/FastLED,4, archive/FastSPI_LED archive/FastLED v,8,0,6,20,28,0 days 00:00:00.091727
