project,prefixes,prefixes_names,main_releases,rapid_releases,trad_releases,patches,releases,time,uncommon_prefixes
feross/simple-peer,1,v,50,34,10,71,121,0 days 00:00:00.446119,0
node-formidable/formidable,2, v,12,8,3,33,45,0 days 00:00:00.050067,0
maxogden/menubar,1,v,18,4,8,47,65,0 days 00:00:00.036298,0
doccano/doccano,1,v,8,2,3,19,27,0 days 00:00:00.148831,0
jackocnr/intl-tel-input,2, v,62,41,10,262,324,0 days 00:00:00.238556,0
albertlauncher/albert,1,v,17,9,5,64,81,0 days 00:00:00.083325,0
99designs/aws-vault,1,v,34,17,9,32,66,0 days 00:00:00.078334,0
i18next/i18next,2, v,91,66,9,222,313,0 days 00:00:00.274312,0
dtm-labs/dtm,1,v,21,18,1,35,56,0 days 00:00:00.065621,0
JetBrains/Exposed,1,,8,3,3,78,86,0 days 00:00:00.122717,0
amoffat/sh,1,,34,26,5,17,51,0 days 00:00:00.069626,0
react-native-video/react-native-video,2, v,24,13,7,49,73,0 days 00:00:00.084648,0
StackExchange/blackbox,1,v,18,6,8,0,18,0 days 00:00:00.034434,0
yocontra/react-responsive,1,v,8,2,4,28,36,0 days 00:00:00.025264,0
RichardKnop/machinery,1,v,11,1,7,86,97,0 days 00:00:00.081985,0
Zizaco/entrust,1,,10,2,7,8,18,0 days 00:00:00.030291,0
medialize/URI.js,2,v. v,20,7,11,54,74,0 days 00:00:00.067043,0
gitalk/gitalk,1,v,5,1,3,16,21,0 days 00:00:00.019605,0
maxence-charriere/go-app,2, v,37,24,6,69,106,0 days 00:00:00.079390,0
go-resty/resty,1,v,34,14,10,7,41,0 days 00:00:00.037540,0
yagop/node-telegram-bot-api,1,v,26,14,6,13,39,0 days 00:00:00.150545,0
DIYgod/APlayer,2, v,6,3,2,15,21,0 days 00:00:00.028133,0
shentao/vue-multiselect,2, v,5,2,1,20,25,0 days 00:00:00.031512,0
jiaaro/pydub,1,v,17,3,9,19,36,0 days 00:00:00.048227,0
bpmn-io/bpmn-js,2, v,75,46,7,155,230,0 days 00:00:00.260501,0
gruntwork-io/terratest,1,v,39,21,9,296,335,0 days 00:00:00.275751,0
snipe/snipe-it,3, V v,30,12,13,130,160,0 days 00:00:00.754259,0
baskerville/bspwm,1,,9,5,1,15,24,0 days 00:00:00.079194,0
software-mansion/react-native-reanimated,1,,23,10,2,19,42,0 days 00:00:00.102615,0
thephpleague/oauth2-server,1,,25,3,11,72,97,0 days 00:00:00.313923,0
dataarts/dat.gui,2, v,6,1,2,18,24,0 days 00:00:00.037564,0
swaggo/swag,2,v. v,9,1,5,23,32,0 days 00:00:00.045898,0
redux-offline/redux-offline,2, v,7,1,4,9,16,0 days 00:00:00.031644,0
simonw/datasette,1,,55,43,6,39,94,0 days 00:00:00.250515,0
faker-js/faker,1,v,22,10,9,26,48,0 days 00:00:00.118140,0
Graylog2/graylog2-server,1,,25,1,20,124,149,0 days 00:00:01.394857,0
securego/gosec,2, v,16,3,8,8,24,0 days 00:00:00.052738,0
ArthurHub/Android-Image-Cropper,1,,9,2,6,23,32,0 days 00:00:00.037986,0
fruitcake/laravel-cors,2,V v,16,5,10,33,49,0 days 00:00:00.033962,0
garris/BackstopJS,2, v,25,9,8,106,131,0 days 00:00:00.111279,0
PaddlePaddle/Paddle-Lite,3, release/ v,15,4,7,6,21,0 days 00:00:00.514063,0
chrismaltby/gb-studio,2, v,6,3,2,6,12,0 days 00:00:00.301179,0
electerious/Lychee,2, v,11,1,6,31,42,0 days 00:00:00.080136,0
marshmallow-code/marshmallow,1,,48,22,11,77,125,0 days 00:00:00.171908,0
centrifugal/centrifugo,1,v,24,5,9,57,81,0 days 00:00:00.092654,0
dylang/npm-check,2, v,12,4,6,33,45,0 days 00:00:00.029098,0
react-native-svg/react-native-svg,2, v,45,30,7,164,209,0 days 00:00:00.148768,0
belluzj/fantasque-sans,2, v,5,1,2,10,15,0 days 00:00:00.018459,0
pahen/madge,2, v,30,13,11,29,59,0 days 00:00:00.039644,0
QuantConnect/Lean,2, v,1917,1077,4,10,1927,0 days 00:00:04.851115,0
uber/cadence,1,v,22,9,7,55,77,0 days 00:00:00.213918,0
cupy/cupy,1,v,56,48,1,6,62,0 days 00:00:01.440550,0
xonsh/xonsh,1,,12,1,10,100,112,0 days 00:00:00.705540,0
qemu/qemu,2,release_ v,48,2,42,86,134,0 days 00:00:06.346506,0
jenssegers/laravel-mongodb,2, v,19,3,12,91,110,0 days 00:00:00.116674,0
gsoft-inc/craco,1,v,32,24,2,27,59,0 days 00:00:00.050496,0
tindy2013/subconverter,1,v,7,3,2,28,35,0 days 00:00:00.048558,0
aws/aws-sam-cli,1,v,96,89,1,36,132,0 days 00:00:00.146274,0
chancejs/chancejs,2, v,9,3,5,47,56,0 days 00:00:00.063399,0
crater-invoice/crater,1,,11,4,4,19,30,0 days 00:00:00.073999,0
thedevs-network/kutt,1,v,10,5,2,51,61,0 days 00:00:00.048665,0
mcollina/autocannon,1,v,52,36,9,43,95,0 days 00:00:00.170229,0
google/error-prone,1,v,15,3,5,34,49,0 days 00:00:00.317706,0
filhodanuvem/gitql,2, v,10,2,6,8,18,0 days 00:00:00.025874,0
supertokens/supertokens-core,1,v,22,15,2,17,39,0 days 00:00:00.045819,0
flot/flot,2, v,16,6,7,35,51,0 days 00:00:00.066196,0
SocketCluster/socketcluster,3, v. v,17,13,3,26,43,0 days 00:00:00.061855,0
hashicorp/raft,1,v,5,1,3,15,20,0 days 00:00:00.053815,0
reactiveui/refit,2, v,13,3,6,39,52,0 days 00:00:00.132403,0
wojtekmaj/react-pdf,1,v,27,13,6,36,63,0 days 00:00:00.240712,0
onsi/ginkgo,1,v,19,3,11,21,40,0 days 00:00:00.058723,0
karatelabs/karate,1,v,11,1,6,27,38,0 days 00:00:00.195335,0
burnash/gspread,2, v,19,9,8,21,40,0 days 00:00:00.072418,0
fabiospampinato/cash,1,,16,8,5,36,52,0 days 00:00:00.051113,0
plantuml/plantuml,1,v,9,2,4,78,87,0 days 00:00:00.361249,0
