project,prefixes,prefixes_names,main_releases,rapid_releases,trad_releases,patches,releases,time
yjs/yjs,1,v,19,2,4,151,170,0 days 00:00:00.149275
beautify-web/js-beautify,1,v,13,3,7,74,87,0 days 00:00:00.189960
tailscale/tailscale,1,v,19,6,2,54,73,0 days 00:00:00.263828
paramiko/paramiko,3, release- v,23,3,13,152,175,0 days 00:00:00.230075
theonedev/onedev,2, v,26,13,2,131,157,0 days 00:00:00.297249
go-swagger/go-swagger,2, v,29,8,11,26,55,0 days 00:00:00.180832
kubernetes/kompose,1,v,34,17,5,3,37,0 days 00:00:00.111866
signalapp/Signal-Server,1,v,215,20,2,18,233,0 days 00:00:00.289375
react-native-image-picker/react-native-image-picker,2, v,37,2,3,86,123,0 days 00:00:00.071098
99designs/gqlgen,2, v,16,7,6,35,51,0 days 00:00:00.279202
swagger-api/swagger-editor,3, v/ v,27,2,8,364,391,0 days 00:00:00.514780
chaijs/chai,2, v,30,8,9,48,78,0 days 00:00:00.102960
konvajs/konva,1,,41,11,7,131,172,0 days 00:00:00.259490
symfony/http-kernel,1,v,26,4,21,489,515,0 days 00:00:00.742818
retejs/rete,2, v,12,3,2,35,47,0 days 00:00:00.040194
akveo/nebular,1,v,23,6,4,23,46,0 days 00:00:00.124751
go-vgo/robotgo,2, v,21,3,7,24,45,0 days 00:00:00.073316
NginxProxyManager/nginx-proxy-manager,2, v,10,3,2,48,58,0 days 00:00:00.070517
secdev/scapy,1,v,80,8,8,432,512,0 days 00:00:00.681243
HangfireIO/Hangfire,2,v. v,13,4,4,92,105,0 days 00:00:00.293421
streamlink/streamlink,1,,30,9,7,17,47,0 days 00:00:00.351746
PrestaShop/PrestaShop,1,,30,16,4,83,113,0 days 00:00:04.683909
twigphp/Twig,1,v,66,29,20,139,205,0 days 00:00:00.370304
metricsgraphics/metrics-graphics,3,V v v.,25,12,4,10,35,0 days 00:00:00.083826
doctrine/cache,2, v,17,2,7,27,44,0 days 00:00:00.058832
ckeditor/ckeditor5,2, v,48,30,3,6,54,0 days 00:00:03.267695
react-cosmos/react-cosmos,2, v,33,6,6,41,74,0 days 00:00:00.126675
InsertKoinIO/koin,1,,13,5,6,33,46,0 days 00:00:00.130973
trustedsec/social-engineer-toolkit,1,,17,3,8,87,104,0 days 00:00:00.881436
altair-viz/altair,2, v,13,3,7,8,21,0 days 00:00:00.186736
openspug/spug,2,V v,8,2,3,34,42,0 days 00:00:00.184359
webpack/webpack-dev-server,1,v,42,14,9,70,112,0 days 00:00:00.154948
gogf/gf,1,v,14,2,4,106,120,0 days 00:00:00.312247
cryptomator/cryptomator,1,,18,7,6,73,91,0 days 00:00:00.336483
webdriverio/webdriverio,1,v,91,45,11,415,506,0 days 00:00:00.970567
sosedoff/pgweb,1,v,11,6,3,31,42,0 days 00:00:00.065993
mopidy/mopidy,1,v,29,6,16,38,67,0 days 00:00:00.452486
sandboxie-plus/Sandboxie,2, v,11,2,4,58,69,0 days 00:00:00.108686
Sonarr/Sonarr,1,v,44,12,4,8,52,0 days 00:00:00.521669
symfony/debug,1,v,16,2,13,354,370,0 days 00:00:00.244447
winsw/winsw,1,v,21,4,10,10,31,0 days 00:00:00.058624
i18next/react-i18next,2, v,84,15,2,164,248,0 days 00:00:00.177236
davemorrissey/subsampling-scale-image-view,1,v,13,3,4,8,21,0 days 00:00:00.027777
numba/numba,2, v,54,9,8,51,105,0 days 00:00:01.579744
QuantConnect/Lean,2, v,1917,18,4,10,1927,0 days 00:00:05.103737
FluentValidation/FluentValidation,1,,49,11,18,60,109,0 days 00:00:00.144161
AppImage/AppImageKit,1,,13,2,8,0,13,0 days 00:00:00.121468
rocksdanister/lively,1,v,18,6,2,29,47,0 days 00:00:00.037473
facebook/litho,1,v,41,22,2,157,198,0 days 00:00:01.116541
xo/usql,1,v,10,4,3,22,32,0 days 00:00:00.046985
ngrx/platform,2, v,35,16,5,25,60,0 days 00:00:00.111287
pennersr/django-allauth,1,,42,11,18,13,55,0 days 00:00:00.187119
PointCloudLibrary/pcl,1,pcl-,13,2,8,12,25,0 days 00:00:01.368907
sveltejs/sapper,1,v,29,16,4,149,178,0 days 00:00:00.146083
smartystreets/goconvey,2, v,7,3,3,20,27,0 days 00:00:00.311494
graphql-python/graphene,2,v. v,16,7,5,29,45,0 days 00:00:00.096718
pytube/pytube,2, v,31,10,7,78,109,0 days 00:00:00.100090
OWASP/Amass,2, v,37,14,5,123,160,0 days 00:00:00.138510
lz4/lz4,2,r v,18,10,2,11,29,0 days 00:00:00.300725
java-native-access/jna,2, v,26,3,18,32,58,0 days 00:00:00.243130
es-shims/es5-shim,1,v,19,5,4,77,96,0 days 00:00:00.073504
marionettejs/backbone.marionette,1,v,32,12,9,93,125,0 days 00:00:00.208941
symfony/routing,1,v,26,2,21,441,467,0 days 00:00:00.523140
metafizzy/flickity,1,v,10,2,5,24,34,0 days 00:00:00.037351
ljharb/qs,1,v,25,3,7,49,74,0 days 00:00:00.065036
google/android-classyshark,1,,15,7,2,0,15,0 days 00:00:00.028304
nopSolutions/nopCommerce,1,release-,29,4,20,6,35,0 days 00:00:00.846230
AmruthPillai/Reactive-Resume,1,v,7,4,2,24,31,0 days 00:00:00.166325
Zettlr/Zettlr,3, v. v,28,12,6,49,77,0 days 00:00:00.413640
mamedev/mame,1,mame,124,88,11,0,124,0 days 00:00:05.381041
apache/cassandra,1,cassandra-,23,7,13,183,206,0 days 00:00:01.765707
gitkraken/vscode-gitlens,2, v,45,28,4,91,136,0 days 00:00:00.257228
jazzband/django-debug-toolbar,2, v,25,3,15,24,49,0 days 00:00:00.297845
jemalloc/jemalloc,1,,22,2,13,24,46,0 days 00:00:00.214858
encode/starlette,1,,19,2,4,94,113,0 days 00:00:00.086653
raineorshine/npm-check-updates,2, v,56,6,4,194,250,0 days 00:00:00.193239
ThreeMammals/Ocelot,1,,31,5,3,110,141,0 days 00:00:00.102469
mqttjs/MQTT.js,2, v,42,8,6,109,151,0 days 00:00:00.123134
symfony/css-selector,1,v,26,3,10,434,460,0 days 00:00:00.366661
developit/microbundle,2, v,15,5,5,24,39,0 days 00:00:00.055741
hrydgard/ppsspp,1,v,20,3,14,46,66,0 days 00:00:01.965114
deepstreamIO/deepstream.io,2, v,25,5,5,98,123,0 days 00:00:00.230126
DevinVinson/WordPress-Plugin-Boilerplate,1,,9,4,2,5,14,0 days 00:00:00.031095
xmrig/xmrig,1,v,46,34,7,73,119,0 days 00:00:00.190346
Turfjs/turf,2, v,23,10,3,65,88,0 days 00:00:00.219292
final-form/react-final-form,2,v. v,23,7,2,47,70,0 days 00:00:00.040795
symfony/process,1,v,26,4,19,450,476,0 days 00:00:00.500507
FullHuman/purgecss,2, v,23,8,7,20,43,0 days 00:00:00.080227
projectstorm/react-diagrams,2, v,16,4,5,23,39,0 days 00:00:00.058294
ffuf/ffuf,1,v,18,2,4,6,24,0 days 00:00:00.030021
wallabag/wallabag,1,,20,5,10,40,60,0 days 00:00:00.584513
jsplumb/jsplumb,1,,28,3,14,188,216,0 days 00:00:00.445255
symfony/var-dumper,1,v,20,4,15,355,375,0 days 00:00:00.446150
abel533/Mapper,1,,18,6,4,33,51,0 days 00:00:00.051545
readthedocs/readthedocs.org,1,,76,52,5,152,228,0 days 00:00:01.311665
trentm/node-bunyan,1,,33,4,4,81,114,0 days 00:00:00.090475
rr-debugger/rr,1,,28,9,14,6,34,0 days 00:00:00.304126
taskflow/taskflow,1,v,13,3,8,1,14,0 days 00:00:00.106281
monero-project/monero,1,v,19,7,7,34,53,0 days 00:00:00.721727
verlok/vanilla-lazyload,2, v,81,29,5,77,158,0 days 00:00:00.142565
Humanizr/Humanizer,3, V v,16,8,4,49,65,0 days 00:00:00.145273
barry-ran/QtScrcpy,1,v,9,3,2,15,24,0 days 00:00:00.041581
reactiveui/ReactiveUI,2, v,41,16,7,181,222,0 days 00:00:00.862178
brunch/brunch,1,,24,10,7,107,131,0 days 00:00:00.262276
TrinityCore/TrinityCore,1,TDB,74,41,22,6,80,0 days 00:00:03.384580
cssinjs/jss,2, v,60,20,8,86,146,0 days 00:00:00.161325
gobuffalo/buffalo,2, v,15,2,7,107,122,0 days 00:00:00.200937
mongodb/mongo-go-driver,2, v,13,3,7,60,73,0 days 00:00:00.126559
tgalal/yowsup,1,v,8,3,4,20,28,0 days 00:00:00.077102
twpayne/chezmoi,1,v,27,15,4,106,133,0 days 00:00:00.204300
microsoft/azuredatastudio,2, v,40,25,2,89,129,0 days 00:00:00.709286
transmission/transmission,1,,99,55,12,1,100,0 days 00:00:00.860233
kazupon/vue-i18n,1,v,64,18,3,83,147,0 days 00:00:00.136183
infracost/infracost,2, v,10,5,3,62,72,0 days 00:00:00.123462
SirVer/ultisnips,1,,11,2,7,0,11,0 days 00:00:00.091604
NLPchina/elasticsearch-sql,1,,46,4,4,144,190,0 days 00:00:00.105746
ActivityWatch/activitywatch,1,v,8,2,3,11,19,0 days 00:00:00.047022
jupyterhub/jupyterhub,1,,19,2,11,20,39,0 days 00:00:00.361679
lucas-clemente/quic-go,2,v. v,24,5,10,33,57,0 days 00:00:00.412742
aheckmann/gm,2, v,31,5,7,35,66,0 days 00:00:00.048954
qemu/qemu,2,release_ v,48,2,42,86,134,0 days 00:00:08.748766
lcobucci/jwt,1,,11,2,4,34,45,0 days 00:00:00.094359
hugapi/hug,1,,18,10,5,44,62,0 days 00:00:00.145166
open-policy-agent/opa,1,v,40,22,6,80,120,0 days 00:00:00.273424
grpc/grpc-web,1,,7,4,2,9,16,0 days 00:00:00.061104
gregberge/loadable-components,1,v,30,5,3,35,65,0 days 00:00:00.047218
xojs/xo,1,v,43,3,7,43,86,0 days 00:00:00.057099
juice-shop/juice-shop,2, v,91,56,8,101,192,0 days 00:00:01.201459
visgl/react-map-gl,2, v,22,3,8,143,165,0 days 00:00:00.137446
migueldeicaza/gui.cs,1,v,13,2,3,9,22,0 days 00:00:00.156445
electron/fiddle,2, v,29,12,3,22,51,0 days 00:00:00.200370
flyway/flyway,1,flyway-,40,7,13,101,141,0 days 00:00:00.223903
